Value,ar,ca,cs,da,de,el,en,en_AU,en_GB,es,es_419,fi,fr,fr_CA,he,hi,hr,hu,id,it,ja,ko,ms,nl,no,pl,pt,pt_PT,ro,ru,sk,sv,th,tr,uk,vi,zh_CN,zh_HK,zh_TW
59808,شخص يجري,Persona corrent,Běžec,"Person, der løber",Rennende Person,Άτομο που τρέχει,Person Running,Person Running,Person Running,Persona corriendo,Persona corriendo,Juokseva henkilö,Personne en train de courir,Personne qui court,אדם רץ,दौड़ता हुआ व्यक्ति,Osoba koja trči,Futó ember,Orang Berlari,Persona che corre,走っている人,달리는 사람,Orang Berlari,Rennende persoon,Person som løper,Biegnąca osoba,Pessoa Correndo,Pessoa a correr,Persoană alergând,Бегущий человек,Bežec,Person som springer,คนกำลังวิ่ง,Koşan Kişi,"Людина, що біжить",Người đang chạy,正在跑步的人,跑步的人,跑步的人
61493,شخص يجري في دائرة,Cercle amb una persona corrent,Běžící člověk v kroužku,"Person, der løber, i cirkel",Person – Rennen – Kreis,Άτομο που τρέχει σε κύκλο,Person Run Circle,Person Run Circle,Person Run Circle,Círculo con persona corriendo,Persona corriendo en círculo,Juokseva henkilö ympyrässä,Personne en train de courir dans un cercle,Cercle avec personne qui court,אדם רץ בתוך עיגול,दौड़ता हुआ व्यक्ति वृत्त,Osoba koja trči u krugu,Futó ember egy körben,Lingkaran Orang Berlari,Cerchio con persona che corre,走っている人（丸）,원형 달리는 사람,Bulatan Orang Berlari,Rennende persoon in cirkel,Løpende person i sirkel,Biegnąca osoba w kółku,Círculo com Pessoa Correndo,Pessoa a correr num círculo,Cerc persoană alergând,Бегущий человек в кружке,Bežec v kruhu,Löpare i cirkel,คนวิ่งอยู่ในวงกลม,Koşan Kişi Dairesi,"Коло з людиною, що біжить",Hình tròn người chạy,跑步的人圆圈,跑步的人圓圈,跑步的人圓圈
61494,حركة شخص يجري,Cercle amb una persona en moviment,Běžící člověk s pohybovou stopou,Person i bevægelse,Person – Rennen – Bewegung,Κίνηση ατόμου που τρέχει,Person Run Motion,Person Run Motion,Person Run Motion,Movimiento de persona corriendo,Movimiento de persona corriendo,Juokseva henkilö ja vauhtiviivat,Personne en train de courir avec animation,Mouvement de personne qui court,תנועת אדם רץ,दौड़ता हुआ व्यक्ति चाल,"Osoba koja trči, u pokretu",Futó ember mozgásban,Gerakan Orang Berlari,Persona che corre con effetto movimento,走っている人（モーション）,달리는 동작의 사람,Orang Berlari Pergerakan,Rennende persoon met bewegingseffect,Løpende person i bevegelse,Biegnąca osoba (ruch),Movimento de Pessoa Correndo,Pessoa a correr,Mișcare persoană alergând,Бегущий человек с символом движения,Bežec v pohybe,Löpare i rörelse,ภาพเคลื่อนไหวคนวิ่ง,Koşan Kişi Hareketi,"Рух людини, що біжить",Chuyển động người chạy,跑步的人动态,跑步的人（動態）,跑步的人動態
61495,إلغاء الضجيج,Cancel·lació de soroll,Potlačování hluku,Støjreduktion,Geräuschunterdrückung,Ακύρωση θορύβου,Noise Cancellation,Noise Cancellation,Noise Cancellation,Cancelación de ruido,Cancelación de ruido,Vastamelu,Réduction du bruit,Annulation du bruit,צמצום רעשים,नॉइज़ कैंसलेशन,Poništavanje pozadinske buke,Zajkioltás,Peredam Kebisingan,Cancellazione rumore,ノイズキャンセリング,노이즈 캔슬링,Pembatalan Bunyi,Ruisonderdrukking,Støyreduksjon,Redukcja hałasu,Cancelamento de Ruído,Cancelamento de ruído,Anulare zgomot,Шумоподавление,Potláčanie hluku,Brusreducering,การตัดเสียงรบกวน,Gürültü Engelleme,Шумогасіння,Khử tiếng ồn,降噪,消噪,降噪
61496,الشفافية,So ambiental,Režim propustnosti,Transparent lyd,Transparenz,Διαφάνεια,Transparency,Transparency,Transparency,Sonido ambiente,Ambiente,Läpikuuluminen,Transparence,Transparence,חדירת רעשי רקע,ट्रांसपरेंसी,Propusnost,Átengedés,Transparansi,Trasparenza,外部音取り込み,주변음 허용,Ketelusan,Transparantie,Lydfremheving,Tryb kontaktu,Ambiente,Transparência,Transparență,Прозрачность,Priehľadnosť,Transparens,ฟังเสียงภายนอก,Şeffaf Mod,Проникність,Xuyên âm,通透模式,通透模式,通透模式
61532,منظر جانبي لرأس به مخ,Cap amb cervell de perfil,Hlava s mozkem z profilu,Hoved med hjerne i profil,Kopf mit Gehirn im Profil,Πλάγια όψη κεφαλιού με μυαλό,Brain Head Profile,Brain Head Profile,Brain Head Profile,Cabeza con cerebro de perfil,Cabeza con cerebro de perfil,Aivot pään profiilissa,Tête de profil avec cerveau,Profil de tête avec cerveau,פרופיל של ראש עם מוח,मस्तिष्क की प्रोफ़ाइल,Profil mozga i glave,Agyat ábrázoló fej profilból,Profil Kepala Otak,Cervello di profilo,横向きの頭部と脳,머리 및 뇌의 옆모습,Profil Otak Kepala,Hersen­hoofd­profiel,Hode med hjerne i profil,Profil z mózgiem,Perfil com Cérebro,Perfil de cérebro,Profil de cap cu creier,Профиль головы с мозгом,Hlava s mozgom z profilu,Hjärnhuvud i profil,โปรไฟล์ศีรษะที่มีสมอง,Kafa Profili ve Beyin,Зображення голови з мозком у профіль,Hình chiếu đầu và bộ não,头部轮廓,腦頭輪廓,腦頭輪廓
61533,مخ,Cervell,Mozek,Hjerne,Gehirn,Μυαλό,Brain,Brain,Brain,Cerebro,Cerebro,Aivot,Cerveau,Cerveau,מוח,दिमाग़,Mozak,Agy,Otak,Cervello,脳,뇌,Otak,Hersenen,Hjerne,Mózg,Cérebro,Cérebro,Creier,Мозг,Mozog,Hjärna,สมอง,Beyin,Мозок,Bộ não,大脑,大腦,大腦
61534,وجه بابتسامة عريضة,Cara amb una rialla,Šklebící se obličej,Grinende ansigt,Grinsendes Gesicht,Πρόσωπο με πλατύ χαμόγελο,Grinning Face,Grinning Face,Grinning Face,Cara con amplia sonrisa,Cara con amplia sonrisa,Virnistävät kasvot,Visage avec large sourire,Visage avec large sourire,פרצוף מחייך,ठठाकर हँसता चेहरा,Nacereno lice,Vigyorgó arc,Wajah Menyeringai,Faccina sorridente,笑っている顔,활짝 웃는 얼굴,Muka Tersengih,Grijnzend gezicht,Glisende ansikt,Buźka wyszczerzona w uśmiechu,Rosto Gargalhando,Cara com sorriso a mostrar os dentes,Față rânjind,Широко улыбающееся лицо,Škeriaca sa tvár,Flinande ansikte,ใบหน้ายิ้มยิงฟัน,Sırıtan Yüz,Широко усміхнене обличчя,Khuôn mặt cười tươi,露齿而笑的表情,露齒而笑嘅臉,露齒而笑的表情
61535,وجه مبتسم بعينين مبتسمتين,Cara somrient amb els ulls somrients,Smějící se obličej s usměvavýma očima,Smilende ansigt med smilende øjne,Lächelndes Gesicht mit lächelnden Augen,Χαμογελαστό πρόσωπο με γελαστά μάτια,Face Smiling With Smiling Eyes,Face Smiling With Smiling Eyes,Face Smiling With Smiling Eyes,Cara sonriente con los ojos sonrientes,Cara sonriente con ojos sonrientes,Hymyilevät kasvot ja hymyilevät silmät,Visage souriant aux yeux rieurs,Visage souriant avec les yeux rieurs,פרצוף מחייך עם עיניים מחייכות,मुसकराती आँखों वाला मुसकराता चेहरा,Nasmiješeno lice s nasmiješenim očima,Mosolygó arc mosolygó szemekkel,Wajah Tersenyum Dengan Mata Tersenyum,Faccina che sorride con occhi sorridenti,笑っている目の笑顔,미소 짓는 눈으로 살짝 웃는 얼굴,Muka Tersenyum dengan Mata Tersenyum,Lachend gezicht met lachende ogen,Smilende ansikt med smilende øyne,Uśmiechnięta buźka z roześmianymi oczami,Rosto Sorridente com Olhos de Coração,Cara sorridente com olhos sorridentes,Față zâmbitoare cu ochi zâmbitori,Улыбающееся лицо со счастливыми глазами,Usmiata tvár s usmiatymi očami,Leende ansikte med leende ögon,ใบหน้ายิ้มกับยิ้มออกตา,Gözlerinin İçi Gülen Yüz,Усміхнене обличчя з усміхненими очима,Khuôn mặt mỉm cười với hai mắt híp lại,眼带笑意的笑脸,含笑眼睛同微笑嘅表情,瞇眼微笑的表情
61536,وجه بابتسامة عريضة وعينين نصف مغلقتين,Cara amb una rialla i els ulls mig clucs,Šklebící se obličej s přivřenýma očima,Grinende ansigt med sammenknebne øjne,Grinsendes Gesicht mit schielenden Augen,Πρόσωπο με πλατύ χαμόγελο και μισόκλειστα μάτια,Face Grinning With Squinting Eyes,Face Grinning With Squinting Eyes,Face Grinning With Squinting Eyes,Cara con amplia sonrisa y ojos entornados,Cara con amplia sonrisa y ojos entrecerrados,Virnistävät kasvot ja siristetyt silmät,Visage souriant avec les yeux plissés,Visage souriant avec les yeux plissés,פרצוף מחייך וממצמץ,तिरछी आँखों के साथ ठठाकर हँसता चेहरा,Nacereno lice sa škiljećim očima,Vigyorgó arc hunyorító szemekkel,Wajah Menyeringai Dengan Mata Disipitkan,Faccina molto sorridente che strizza gli occhi,目を細めて笑っている顔,활짝 눈웃음짓는 얼굴,Muka Tersengih dengan Mata Mengecil,Grijnzend gezicht met samen­geknepen ogen,Glisende ansikt med halvåpne øyne,Buźka z grymasem i zmrużonymi oczami,Rosto Gargalhando com Olhos Semicerrados,Cara com sorriso a mostrar os dentes e olhos semifechados,Față rânjind cu ochi întredeschiși,Широко улыбающееся лицо с зажмуренными глазами,Vyškerená tvár s prižmúrenými očami,Flinande ansikte med kisande ögon,ใบหน้ายิ้มยิงฟันกับหรี่ตา,Kısık Gözlerle Sırıtan Yüz,Широко усміхнене обличчя з примруженими очима,Khuôn mặt cười tươi với hai mắt nheo lại,眯着眼睛露齿而笑,瞇眼開口笑嘅表情,瞇眼露齒而笑的表情
61537,وجه عليه دموع الفرح,Cara amb llàgrimes d’alegria,Obličej slzící smíchy,Ansigt med glædestårer,Gesicht mit Freudentränen,Πρόσωπο με δάκρυα χαράς,Face With Tears Of Joy,Face With Tears Of Joy,Face With Tears Of Joy,Cara con lágrimas de alegría,Cara con lágrimas de alegría,Ilonkyyneleitä kasvoilla,Visage avec des larmes de joie,Visage pleurant de joie,פרצוף עם דמעות שמחה,ख़ुशी के आँसू वाला चेहरा,Lice sa suzama radosnicama,Arc örömkönnyekkel,Wajah Menangis Bahagia,Faccina con lacrime di gioia,嬉し泣きする顔,기쁨의 눈물을 흘리는 얼굴,Muka dengan Tangisan Kegembiraan,Gezicht met tranen van vreugde,Ansikt med gledestårer,Buźka ze łzami radości,Rosto Chorando de Rir,Cara com lágrimas de alegria,Față cu lacrimi de bucurie,Лицо со слезами счастья,Tvár so slzami šťastia,Ansikte med glädjetårar,ใบหน้าดีใจทั้งน้ำตา,Sevinç Gözyaşları Döken Yüz,Обличчя зі сльозами радості,Khuôn mặt với nước mắt vui sướng,笑出眼泪的表情,喜極而泣嘅表情,喜極而泣的表情
61538,وجه منفجر من الضحك,Cara rodant per terra petant‑se de riure,Obličej válející se smíchy,"Ansigt, der ruller grinende rundt på gulvet",Sich vor Lachen auf dem Boden wälzendes Gesicht,Πρόσωπο που ξεκαρδίζεται στα γέλια,Face Rolling On The Floor Laughing,Face Rolling On The Floor Laughing,Face Rolling On The Floor Laughing,Cara revolcándose de risa,Cara rodando y llorando de la risa,Lattialla nauraen kieriskelevät kasvot,Visage qui roule par terre en rigolant,Visage riant à se rouler par terre,פרצוף מתגלגל על הרצפה מצחוק,हँस-हँस कर लोट-पोट हो जाने वाला चेहरा,Lice koje se valja po podu od smijeha,Padlón fetrengő nevető arc,Wajah Tertawa Berguling Di Lantai,Faccina che ride a crepapelle,笑い転げる顔,바닥을 구르며 웃는 얼굴,Muka Ketawa Terguling-guling Atas Lantai,Gezicht dat op de grond rolt van het lachen,Ansikt som ler seg i hjel,Buźka tarzająca się ze śmiechu,Rosto Rolando de Rir,Cara a rir às gargalhadas,Față tăvălindu‑se pe jos de râs,Катаюсь по полу от смеха,Smejúca sa tvár na zemi,Gapskrattande ansikte,ใบหน้าหัวเราะจนลงไปกลิ้งอยู่กับพื้น,Gülmekten Yerlere Yatan Yüz,"Обличчя, що качається від сміху",Khuôn mặt đang cười lăn cười bò,笑得打滚的表情,笑到轆地嘅表情,滾地大笑的表情
61539,وجه يغمز ويخرج لسانه,Cara picant l’ullet i traient la llengua,Mrkající obličej s vypláznutým jazykem,"Blinkende ansigt, som rækker tunge",Zwinkerndes Gesicht mit herausgestreckter Zunge,Πρόσωπο που κλείνει το μάτι και βγάζει τη γλώσσα,Face Winking With Stuck Out Tongue,Face Winking With Stuck-Out Tongue,Face Winking With Stuck-Out Tongue,Cara guiñando un ojo y sacando la lengua,Cara sonriente guiñando un ojo y sacando la lengua,Silmää iskevät kasvot ja ulostyönnetty kieli,Visage clignant d’un œil et tirant la langue,Visage tirant la langue et clignant d’un œil,פרצוף קורץ ומוציא לשון,बाहर निकली जीभ वाला आँख मारता चेहरा,Lice s isplaženim jezikom koje namiguje,Kacsintó arc kinyújtott nyelvvel,Wajah Berkedip Sambil Menjulurkan Lidah,Faccina che strizza l'occhio con la lingua fuori,ウィンクとあっかんべえを同時にしてからかった顔,혀를 쏙 내밀고 윙크하는 얼굴,Muka Mengenyit dengan Lidah Terjelir,Knipogend gezicht met uitgestoken tong,Blunkende ansikt med tungen ut,Mrugająca buźka z wystawionym językiem,Rosto com Olho Piscando e Mostrando a Língua,Cara a piscar o olho com a língua de fora,Față care face cu ochiul cu limba scoasă,Подмигивающее лицо с высунутым языком,Žmurkajúca tvár s vyplazeným jazykom,Blinkning med ett öga och utsträckt tunga,ใบหน้าขยิบตาแลบลิ้นออก,Dili Dışarıda Göz Kırpan Yüz,"Обличчя, що підморгує і випинає язика","Khuôn mặt nháy mắt, lè lưỡi",吐舌眨眼的表情,眨眼伸脷嘅表情,眨眼伸舌頭的表情
61540,وجه متجهم,Cara fent ganyotes,Obličej s grimasou,Ansigt med grimasse,Grimassen,Πρόσωπο που μορφάζει,Face Grimacing,Face Grimacing,Face Grimacing,Cara haciendo una mueca,Cara haciendo muecas,Irvistävät kasvot,Visage qui fait la grimace,Visage grimaçant,פרצוף נרתע,दाँत चियारे हुए चेहरा,Lice s grimasom,Grimaszoló arc,Wajah Meringis,Faccina che fa le smorfie,ちょっと不快な顔,찡그린 얼굴,Muka Berkerut,Gezicht met grimas,Ansikt med grimaser,Buźka z grymasem,Rosto Fazendo Careta,Cara a fazer uma careta,Față care se strâmbă,Гримаса,Grimasy tváre,Grimaserande ansikte,ใบหน้ายิ้มเจื่อน,Suratını Ekşiten Yüz,"Обличчя, що корчить гримаси",Khuôn mặt đang nhăn,做鬼脸,扮鬼臉的表情,露齒而笑的表情
61541,وجه مبتسم بعينين على شكل قلب,Cara somrient amb els ulls en forma de cor,Usmívající se obličej se srdíčky místo očí,Smilende ansigt med hjerteøjne,Lächelndes Gesicht mit Herzaugen,Χαμογελαστό πρόσωπο με μάτια-καρδούλες,Face Smiling With Heart Eyes,Face Smiling With Heart Eyes,Face Smiling With Heart Eyes,Cara sonriente con los ojos en forma de corazón,Cara sonriente con ojos de corazón,Hymyilevät kasvot ja sydämenmuotoiset silmät,Visage souriant aux yeux en forme de cœur,Visage souriant aux yeux en forme de cœur,פרצוף מחייך עם עיני לב,दिल की आँखों वाला मुसकराता चेहरा,Nasmiješeno lice s očima u obliku srca,Mosolygó arc szív alakú szemekkel,Wajah Tersenyum Dengan Mata Berbentuk Hati,Faccina sorridente con gli occhi a forma di cuore,目がハートの笑顔,하트 눈의 웃는 얼굴,Muka Tersenyum dengan Mata Hati,Lachend gezicht met hart­vormige ogen,Smilende ansikt med hjerteformede øyne,Uśmiechnięta buźka z serduszkami w oczach,Rosto Sorridente com Olhos de Coração,Cara sorridente com olhos apaixonados,Față zâmbitoare cu ochi în formă de inimă,Улыбающееся лицо с глазами-сердечками,Usmiata tvár so srdcovými očami,Leende ansikte med hjärtformade ögon,ใบหน้ายิ้มตารูปหัวใจ,Kalp Şeklinde Gözleri Olan Gülen Yüz,Усміхнене обличчя з очима-серцями,Khuôn mặt đang cười có mắt hình trái tim,眼睛为爱心形状的笑脸,心心眼嘅笑臉,有著愛心眼睛的微笑表情
61542,وجه يعطي قبلة,Cara tirant un petó,Obličej posílající polibek,"Ansigt, der sender et kys",Kuss zuwerfendes Gesicht,Πρόσωπο που στέλνει φιλί,Face Blowing A Kiss,Face Blowing A Kiss,Face Blowing A Kiss,Cara lanzando un beso,Cara soplando beso,Lentosuukon lähettävät kasvot,Visage envoyant un baiser,Visage envoyant un baiser,פרצוף מפריח נשיקה באוויר,चुंबन उड़ाता चेहरा,Lice koje šalje poljubac,Puszit dobó arc,Wajah Meniupkan Ciuman,Faccina che manda un bacio,投げキッスする顔,키스를 보내는 얼굴,Muka Melayang Ciuman,Gezicht dat kus toeblaast,Ansikt som gir slengkyss,Buźka przesyłająca całusa,Rosto Mandando um Beijo,Cara a mandar um beijinho,Față suflând un sărut,"Лицо, посылающее воздушный поцелуй",Tvár posielajúca bozk,Ansikte som ger en slängkyss,ใบหน้าส่งจูบรูปหัวใจ,Öpücük Gönderen Yüz,"Обличчя, що надсилає поцілунок",Khuôn mặt đang hôn gió,飞吻的表情,飛吻嘅表情,送出飛吻的表情
61543,وجه مبتسم مع قلوب,Cara somrient amb cors,Smějící se obličej se srdíčky,Smilende ansigt med hjerter,Lächelndes Gesicht mit Herzen,Χαμογελαστό πρόσωπο με καρδιές,Face Smiling With Hearts,Face Smiling With Hearts,Face Smiling With Hearts,Cara sonriente con corazones,Cara sonriente con corazones,Hymyilevät kasvot ja sydämiä,Visage souriant avec des cœurs,Visage souriant avec des cœurs,פרצוף מחייך עם לבבות,दिलों के साथ मुसकराता चेहरा,Nasmiješeno lice sa srcima,Mosolygó arc szívekkel,Wajah Tersenyum Dengan Hati,Faccina sorridente con cuori,笑顔とハート,하트가 달린 웃는 얼굴,Muka Tersenyum dengan Hati,Lachend gezicht met hartjes,Smilende ansikt med hjerter,Uśmiechnięta buźka z sercami,Rosto Sorridente com Corações,Cara sorridente com corações,Față zâmbitoare cu inimi,Улыбающееся лицо в сердечках,Usmiata tvár so srdiečkami,Leende ansikte med hjärtan,ใบหน้ายิ้มมีหัวใจ,Kalpli Gülen Yüz,Усміхнене обличчя із серцями,Khuôn mặt mỉm cười có trái tim,爱心环绕的笑脸,有心心嘅笑面,有著愛心的微笑表情
61544,وجه مبتسم يرتدي نظارة شمسية,Cara somrient amb ulleres de sol,Smějící se obličej se slunečními brýlemi,Smilende ansigt med solbriller,Lächelndes Gesicht mit Sonnenbrille,Χαμογελαστό πρόσωπο με γυαλιά ηλίου,Face Smiling With Sunglasses,Face Smiling With Sunglasses,Face Smiling With Sunglasses,Cara sonriente con gafas de sol,Cara sonriente con lentes obscuros,"Hymyilevät kasvot, joilla on aurinkolasit",Visage souriant avec des lunettes de soleil,Visage souriant avec des lunettes de soleil,פרצוף מחייך עם משקפי שמש,धूप के चश्मे वाला मुसकराता चेहरा,Nasmiješeno lice sa sunčanim naočalama,Mosolygó arc napszemüveggel,Wajah Tersenyum Berkacamata Hitam,Faccina sorridente con occhiali da sole,サングラスをかけた笑顔,선글라스를 낀 웃는 얼굴,Muka Tersenyum dengan Cermin Mata Hitam,Lachend gezicht met zonnebril,Smilende ansikt med solbriller,Uśmiechnięta buźka w okularach przeciwsłonecznych,Rosto Sorridente com Óculos Escuros,Cara sorridente com óculos de sol,Față zâmbitoare cu ochelari de soare,Улыбающееся лицо в темных очках,Usmiata tvár so slnečnými okuliarmi,Leende ansikte med solglasögon,ใบหน้ายิ้มสวมแว่นตากันแดด,Güneş Gözlüklü Gülen Yüz,Усміхнене обличчя в сонячних окулярах,Khuôn mặt mỉm cười với kính râm,戴太阳镜的笑脸,戴太陽眼鏡嘅笑面,戴墨鏡的微笑表情
61545,وجه بعينين نجميتين,Cara amb els ulls en forma d’estrella,Obličej s hvězdami v očích,Ansigt med stjerner i øjnene,Gesicht mit sternförmigen Augen,Πρόσωπο με αστέρια στα μάτια,Face With Starry Eyes,Face With Starry Eyes,Face With Starry Eyes,Cara con los ojos en forma de estrella,Cara con ojos de estrella,Tähtisilmät,Visage avec des yeux en forme d’étoile,Visage aux yeux étoilés,פרצוף עם כוכבים בעיניים,सितारा आँखों वाला चेहरा,Lice sa zvjezdastim očima,Arc csillogó szemekkel,Wajah Dengan Mata Berbintang,Faccina con occhi a forma di stella,目が星になっている顔,별 모양의 눈을 한 얼굴,Muka dengan Mata Berbintang,Gezicht met sterren­ogen,Ansikt med stjerner til øyne,Buźka z gwiazdkami zamiast oczu,Rosto com Olhos de Estrela,Cara com estrelas nos olhos,Față cu ochii în formă de steluțe,Лицо с глазами-звездами,Tvár s hviezdičkami v očiach,Ansikte med stjärnor i ögonen,ใบหน้ามีตาเป็นรูปดาว,Gözleri Yıldız Şeklinde Yüz,Обличчя з очима у формі зірок,Khuôn mặt với hai mắt hình ngôi sao,星星眼表情,星星眼嘅表情,有著星星眼睛的表情
61546,‏Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,‏Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,ミー文字,미모티콘,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,Memoji,拟我表情,Memoji,Memoji
59751,يد مع أصابع متباعدة,Mà oberta,Ruka s roztaženými prsty,Hånd med spredte fingre,Hand mit gespreizten Fingern,Χέρι με απλωμένα δάχτυλα,Hand With Spread Fingers,Hand with Spread Fingers,Hand With Spread Fingers,Mano abierta,Mano con dedos extendidos,Käsi sormet harallaan,Main avec les doigts écartés,Main aux doigts écartés,יד עם אצבעות מפושקות,फैली उँगलियों वाला हाथ,Šaka s raširenim prstima,Kéz széttárt ujjakkal,Tangan Dengan Jari Direnggangkan,Mano ben aperta,指を広げた手のひら,손가락을 펴고 있는 손,Tangan Dengan Jari Terbuka,Hand met gespreide vingers,Hånd med spredte fingre,Dłoń z rozłożonymi palcami,Mão Com Dedos Esticados,Mão com dedos afastados,Mână cu degete răsfirate,Рука с разведенными пальцами,Ruka s roztiahnutými prstami,Hand med utspretade fingrar,มือทำท่ากางนิ้ว,Parmakları Açık El,Рука з розведеними пальцями,Bàn tay với các ngón xòe ra,五指张开的手,張開的手掌,張開的手掌
61585,تخطيط يد مرفوعة وعليها شرطة مائلة,Contorn de la mà alçada amb moviment,Obrys přeškrtnuté zvednuté ruky,Hævet hånd med kontur af skråstreg,Erhobene Hand mit Schrägstrich (Umrahmung),Υψωμένο χέρι με κάθετο σε περίγραμμα,Hand Raised With Slash Outline,Hand Raised With Slash Outline,Hand Raised With Slash Outline,Contorno de mano alzada tachada,Contorno de mano levantada con diagonal,Kohotettu käsi ja vinoviivan ääriviivat,Contours de main levée barrée,Main levée avec contour d’une barre oblique,קווי מתאר של יד מורמת עם לוכסן,स्लैश आउटलाइन के साथ उठा हुआ हाथ,Podignuta ruka s obrubom kose crte,Áthúzott felemelt kéz körvonala,Kerangka Tangan Diangkat Dengan Garis Miring,Sagoma mano alzata con barra,スラッシュ付きの手のひら（アウトライン）,슬래시가 겹쳐진 보 모양 손 윤곽,Rangka Kasar Tangan Diangkat dengan Garis Condong,Omtrek opgeheven hand met schuine streep,Kontur av hevet hånd med skråstrek,Kontur przekreślonej uniesionej dłoni,Mão Levantada com Contorno de Barra,Mão levantada com barra (contorno),Contur mână ridicată cu bară oblică,Контур поднятой руки с косой чертой,Preškrtnutý obrys zdvihnutej ruky,Uppsträckt hand med streck – kontur,เค้าโครงมือยกขึ้นที่มีเครื่องหมายทับ,Eğik Çizgili Kalkık El Konturu,Піднята рука з косою рискою (контур),Đường viền bàn tay giơ lên với dấu gạch chéo,带斜线的举手表情（轮廓）,帶有斜線的舉手手勢外框,舉手劈砍的手勢外框
59857,إبهام لأعلى,Polze cap amunt,Palec nahoru,Tommelfinger opad,Daumen hoch,Αντίχειρας πάνω,Thumbs Up,Thumbs Up,Thumbs Up,Pulgar hacia arriba,Pulgar hacia arriba,Peukalo ylös,Pouce vers le haut,Pouce vers le haut,אגודל למעלה,थम्स अप,Palac gore,Felfelé mutató hüvelykujj,Jempol Ke Atas,Simbolo di “Mi piace”,いいね,엄지 올림,Ibu Jari Atas,Duim omhoog,Tommel opp,Kciuk w górę,Sinal de Positivo,Polegar para cima,Semn de aprobare,Большой палец вверх,Palec nahor,Tummen upp,นิ้วโป้งชี้ขึ้น,Kabul İşareti,Палець угору,Ngón cái trỏ lên,竖起的大拇指,豎起拇指,豎起拇指
61547,إيموجي إبهام لأعلى,Emoji d’un polze cap amunt,Emotikon palce nahoru,En tommelfinger opad-emoji,Ein Emoji Daumen hoch,Emoji αντίχειρα πάνω,Thumbs Up Emoji,Thumbs Up Emoji,Thumbs Up Emoji,Emoji de un pulgar hacia arriba,Emoji de pulgar hacia arriba,Peukalo ylös -emoji,Emoji de pouce pointant vers le haut,Émoji de pouce pointant vers le haut,אמוג׳י אגודל למעלה,थम्स अप ईमोजी,Emoji palca prema gore,Egy felfelé mutató hüvelykujj emoji,Emoji Jempol Ke Atas,Emoji del pollice rivolto verso l'alto,いいねの絵文字,엄지 올림 이모티콘,Emoji Ibu Jari Atas,Een emoji van een duim omhoog,Tommel opp-emoji,Emoji z kciukiem w górę,Emoji de Polegar para Cima,Emoji de um polegar para cima,Emoji semn de aprobare,Эмодзи «Большой палец вверх»,Emoji palca nahor,Emoji med tummen upp,อิโมจินิ้วโป้งชี้ขึ้น,Kabul Emojisi,Емодзі пальця вгору,Biểu tượng ngón cái trỏ lên,竖起大拇指的表情,豎起拇指表情符號,豎起拇指表情符號
61548,علامة يد تشير بالسلام,Signe de pau amb la mà,Gesto míru,Håndtegn for fred,Friedenszeichen,Σήμα χεριού που κάνει το σήμα της ειρήνης,Peace Hand Sign,Peace Hand Sign,Peace Hand Sign,Mano haciendo el símbolo de la paz,Seña de amor y paz,Rauhanmerkki,Signe de paix avec la main,Signe de la paix avec la main,יד מחווה סמל שלום,शांति की मुद्रा में हाथ,Znak mira rukom,Békejel kézzel,Isyarat Tangan Perdamaian,Mano che fa il gesto della pace,チョキの手,평화의 손 모양,Isyarat Tangan Keamanan,Handgebaar voor vrede,Fredstegn,Ręka pokazująca znak pokoju,Sinal de Paz,Sinal de paz com a mão,Semn de pace făcut cu mâna,Рука с жестом мира,Znak mieru prstami,Fredshandtecken,สัญลักษณ์ชูสองนิ้ว,Barış İşareti,Жест миру,Dấu tay hòa bình,和平手势符号,和平手勢,和平手勢
61549,"إيماءة ""أحبك""",Gest de heavy metal,Gesto „miluji tě“,Jeg elsker dig-tegn,Geste „Ich liebe dich“,Χειρονομία «σε αγαπώ»,Love You Gesture,Love You Gesture,Love You Gesture,Gesto de heavy metal,Seña de te amo,Rakastan sinua -ele,Signe « Je t’aime »,Signe Je t’aime,מחוות יד של I love you,प्यार का संकेत,Gesta za volim te,Szeretlek kézmozdulat,Isyarat Cinta Kamu,Gesto “Ti amo” nel linguaggio dei segni,I Love Youジェスチャー,사랑해 제스처,Gerak Isyarat Tangan Saya Cintaimu,Ik hou van jou-gebaar,Hånd som gir tegnet elsker deg på amerikansk tegnspråk,Gest „kocham cię”,Gesto de Te Amo,“Amo-te” em linguagem gestual americana,Gest te iubesc în limbajul semnelor,Жест «люблю тебя»,Gesto milujem ťa,Älskar dig-gest,ท่าทางรักคุณ,Seni Seviyorum İşareti,Жест «люблю тебе»,Cử chỉ yêu,爱你手势,我愛你手勢,我愛你手勢
